Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
High Heat Major League Baseball 2004,XB,2003,Sports,3DO,60000,20000,0,81,10,28,4,3108
F-1 World Grand Prix,N64,1998,Racing,Video System,460000,960000,90000,40,6,10,486,2184
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,260000,130000,0,98,8,29,448,775
RalliSport Challenge 2,XB,2004,Racing,Microsoft Game Studios,180000,80000,0,85,6,28,296,5878
Ultimate Spider-Man,GC,2005,Action,Activision,290000,70000,0,73,0,7,21,8116
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,300000,330000,0,61,6,29,131,5112
Blasto,PS,1998,Action,Sony Computer Entertainment,200000,130000,0,45,0,14,414,690
DiRT Showdown,X360,2012,Racing,Codemasters,80000,130000,0,63,6,27,88,1603
Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,910000,100000,0,50,6,14,17,3449
SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,740000,150000,130000,75,2,15,317,6793
Turbo: Super Stunt Squad,Wii,2013,Sports,D3Publisher,0,10000,0,66,10,25,104,8055
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,280000,470000,0,78,3,16,414,892
PokÃ©mon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,810000,300000,0,84,7,6,329,5614
MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,510000,400000,0,79,10,15,131,4110
Major League Baseball 2K12,PC,2012,Sports,Take-Two Interactive,40000,0,0,56,10,13,448,4196
Disney Sports Skateboarding,GBA,2002,Sports,Konami Digital Entertainment,50000,20000,0,84,10,6,254,1684
Thief (2014),PS3,2014,Action,Square Enix,100000,170000,20000,63,0,16,422,7760
Sky Gunner,PS2,2001,Action,Sony Computer Entertainment,40000,30000,0,93,0,15,414,6674
ZhuZhu Pets,DS,2010,Simulation,Activision,670000,260000,0,91,9,4,21,8728
Sigma Star Saga,GBA,2005,Role-Playing,Atari,40000,10000,0,63,7,6,51,6595
SimCity DS,DS,2007,Simulation,Electronic Arts,330000,20000,210000,73,9,4,131,6622
Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,580000,20000,0,48,0,15,298,4675
Major League Baseball 2K8,PS3,2008,Sports,Bethesda Softworks,280000,0,0,62,10,16,64,4199
Dream Dance & Cheer,Wii,2009,Misc,Zoo Games,60000,0,0,60,3,25,510,1930
Armored Core 3,PS2,2002,Simulation,Metro 3D,220000,170000,230000,68,9,15,291,337
The Land Before Time: Big Water Adventure,PS,2002,Platform,TDK Mediactive,120000,80000,0,70,4,14,440,7577
Super Robot Taisen Î±,PS,2000,Strategy,Banpresto,0,0,750000,66,11,14,61,7181
Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,0,60000,0,66,9,13,296,4489
Sonic & Knuckles,GEN,1994,Platform,Sega,1240000,430000,30000,54,4,8,406,6740
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015,Misc,Namco Bandai Games,0,0,60000,88,3,26,317,7289
Moon,DS,2009,Adventure,Mastiff,40000,0,0,59,1,4,280,4661
Wall-E,DS,2008,Platform,THQ,460000,820000,0,59,4,4,442,8304
Fire Emblem: Thracia 776,SNES,1999,Strategy,Nintendo,0,0,260000,55,11,22,329,2435
NASCAR: Dirt to Daytona,PS2,2008,Racing,Unknown,280000,220000,0,82,6,15,478,4840
God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1700000,440000,60000,42,0,16,414,2756
Aliens: Infestation,DS,2011,Action,Sega,90000,50000,0,50,0,4,406,210
Test Drive Unlimited 2,X360,2006,Racing,Atari,300000,310000,0,57,6,27,51,7409
The Godfather,PS2,2006,Action,Electronic Arts,890000,30000,10000,93,0,15,131,7501
J-League Victory Goal,SAT,1995,Sports,Sega,0,0,150000,99,10,20,406,3385
The Incredible Hulk,GBA,2003,Action,Universal Interactive,400000,150000,0,42,0,6,477,7545
Star Wars: Starfighter,PS2,2001,Simulation,Activision,610000,870000,20000,87,9,15,21,6963
NPPL: Championship Paintball 2009,Wii,2008,Shooter,Activision Value,110000,0,0,48,8,25,23,5027
Metal Max 4: Gekkou no Diva,3DS,2013,Role-Playing,Kadokawa Shoten,0,0,60000,76,7,2,245,4459
Dragon Rage,PS2,2001,Shooter,3DO,30000,20000,0,92,8,15,4,1896
Madden NFL 2003,GC,2002,Sports,Electronic Arts,330000,90000,0,58,10,7,131,4156
Dai-2-Ji Super Robot Taisen Î±,PS2,2003,Strategy,Banpresto,0,0,600000,47,11,15,61,1374
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,130000,180000,0,66,4,15,414,6383
Metal Gear Solid: Social Ops,PS2,2002,Action,Konami Digital Entertainment,30000,20000,0,73,0,15,254,4454
Emergency Room: Real Life Rescues,DS,2009,Simulation,505 Games,40000,0,0,55,9,4,6,2101
NASCAR 2005: Chase for the Cup,GC,2004,Racing,Electronic Arts,100000,20000,0,67,6,7,131,4827
Rodea the Sky Soldier,3DS,2015,Action,Nippon Ichi Software,30000,0,0,60,0,2,332,6138
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougenâ€‹,PS3,2007,Adventure,Sony Computer Entertainment,0,0,80000,76,1,16,414,744
99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,40000,58,1,4,317,72
Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,660000,450000,0,40,1,14,254,4450
Sega Rally 2006,PS2,2005,Racing,Unknown,0,0,40000,86,6,15,478,6401
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007,Fighting,Takara Tomy,0,0,90000,63,2,25,447,5062
FIFA Soccer 10,DS,2009,Sports,Electronic Arts,140000,370000,0,56,10,4,131,2226
Challenge Me: Maths Workout,DS,2009,Puzzle,Oxygen Interactive,40000,0,0,67,5,4,348,1051
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,170000,130000,510000,47,0,15,452,2007
Konohana 2: Todoke Kanai Requiem,PS2,2002,Adventure,Success,0,0,30000,51,1,15,429,3844
From TV Animation One Piece: Treasure Battle!,GC,2002,Fighting,Namco Bandai Games,0,0,280000,68,2,7,317,2547
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,300000,80000,70000,97,0,7,254,4457
Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,80000,50000,0,64,5,14,134,5537
The House of the Dead,SAT,1997,Shooter,Sega,0,0,130000,95,8,20,406,7525
Dead to Rights II,XB,2005,Shooter,Electronic Arts,80000,20000,0,52,8,28,131,1492
Teen Titans,GBA,2014,Action,Unknown,130000,50000,0,89,0,6,478,7354
NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1440000,310000,40000,95,10,16,448,4851
Donkey Kong Classics,NES,1988,Platform,Nintendo,590000,140000,810000,79,4,11,329,1764
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996,Shooter,Namco Bandai Games,0,0,200000,92,8,20,317,4559
Dream Pinball 3D,Wii,2008,Misc,SouthPeak Games,100000,20000,0,82,3,25,419,1934
Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0,520000,0,73,4,16,414,5908
WCW vs the World,PS,1998,Fighting,THQ,1170000,200000,40000,95,2,14,442,8260
Jewel Quest II,PC,2007,Puzzle,Avanquest,0,10000,0,94,5,13,55,3468
Mega Man & Bass,GBA,2002,Platform,Capcom,160000,60000,0,43,4,6,82,4361
Dave Mirra BMX Challenge,Wii,2007,Sports,505 Games,60000,0,0,79,10,25,6,1461
Spider-Man: Friend or Foe,PS2,2007,Action,Activision,310000,10000,0,43,0,15,21,6841
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,40000,80000,0,77,8,13,21,951
Paws & Claws Pet Vet: Australian Adventures,DS,2009,Simulation,THQ,100000,0,0,87,9,4,442,5432
Tiger Woods PGA Tour 2005,PC,2004,Sports,Electronic Arts,0,10000,0,62,10,13,131,7793
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1220000,100000,910000,45,4,6,329,3806
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,Misc,Sega,0,0,90000,56,3,20,406,8222
Archer Maclean Presents: Pool Paradise,PS2,2004,Sports,Ignition Entertainment,30000,20000,0,97,10,15,217,318
SD Gundam G Generation Zero,PS,1999,Strategy,Namco Bandai Games,0,0,510000,42,11,14,317,6232
LEGO Jurassic World,PC,2015,Action,Warner Bros. Interactive Entertainment,0,40000,0,71,0,13,495,3891
Kazoku Keikaku,PSP,2010,Adventure,CyberFront,0,0,20000,90,1,18,102,3685
NCIS,PC,2011,Adventure,Ubisoft,10000,20000,0,97,1,13,474,4947
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0,0,280000,83,0,22,452,4016
The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,Ubisoft,110000,80000,0,43,6,15,474,7480
Wiffle Ball Advance,DS,2007,Sports,Zoo Digital Publishing,10000,0,0,41,10,4,509,8393
Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0,0,330000,63,7,18,317,7323
Rumble Racing,PS2,2001,Racing,Electronic Arts,100000,80000,0,89,6,15,131,6199
Pro Yaky? Spirits 2011,PSP,2011,Sports,Konami Digital Entertainment,0,0,240000,100,10,18,254,5739
Jillian Michaels' Fitness Adventure,X360,2011,Misc,505 Games,170000,20000,0,79,3,27,6,3525
The Golden Compass,DS,2007,Action,Sega,280000,250000,0,71,0,4,406,7508
I'm A Celebrity: Get Me Out of Here!,DS,2009,Misc,Mindscape,0,40000,0,85,3,4,302,3243
Ratatouille,PC,2007,Action,THQ,10000,10000,0,46,0,13,442,5899
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,Action,Namco Bandai Games,0,0,170000,50,0,18,317,7535
Just Cause 2,X360,2010,Action,Square Enix,590000,830000,20000,95,0,27,422,3581
Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft,480000,280000,0,63,0,28,474,5706
Touch the Dead,DS,2007,Shooter,Eidos Interactive,200000,0,0,73,8,4,130,7958
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,110000,30000,0,46,2,28,509,2875
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei,0,0,330000,56,0,15,452,6321
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,SNK,0,0,50000,47,2,20,398,2661
Madou Monogatari,SAT,1998,Role-Playing,Compile,0,0,30000,43,7,20,92,4162
International Track & Field 2000,PS,1999,Sports,Konami Digital Entertainment,60000,40000,0,85,10,14,254,3348
Bust-A-Move 4,PS,1998,Puzzle,Acclaim Entertainment,120000,80000,0,99,5,14,17,881
Major League Baseball 2K11,DS,2011,Sports,Take-Two Interactive,80000,0,0,55,10,4,448,4195
Generator Rex: Agent of Providence,DS,2011,Action,Activision,50000,10000,0,48,0,4,21,2681
F1 2012,X360,2012,Racing,Codemasters,100000,340000,0,93,6,27,88,2200
Guitar Hero 5,Wii,2009,Misc,Activision,920000,480000,0,62,3,25,21,2886
Robotech: Invasion,PS2,2004,Shooter,Global Star,50000,40000,0,78,8,15,187,6101
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,540000,160000,0,85,4,28,51,5263
SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ,380000,10000,0,76,0,25,442,6871
Spider-Man: The Movie,XB,2002,Action,Activision,1070000,280000,0,63,0,28,21,6844
Virtua Quest,GC,2015,Role-Playing,Unknown,10000,0,0,83,7,7,478,8225
The Powerpuff Girls: Relish Rampage,GC,2002,Action,BAM! Entertainment,50000,10000,0,62,0,7,58,7654
Ben 10 Galactic Racing,Wii,2011,Racing,D3Publisher,80000,30000,0,79,6,25,104,612
Super Robot Taisen OG Saga: Endless Frontier,DS,2008,Role-Playing,Namco Bandai Games,70000,0,0,97,7,4,317,7172
Saru! Get You! Pipo Saru Senki,PSP,2009,Role-Playing,Sony Computer Entertainment,0,0,40000,71,7,18,414,6345
Famista '92,NES,1991,Sports,Namco Bandai Games,0,0,280000,71,10,11,317,2295
Peggle: Dual Shot,DS,2009,Puzzle,PopCap Games,110000,0,0,69,5,4,373,5442
Legend of Kay,DS,2010,Action,JoWood Productions,60000,0,0,94,0,4,240,3931
Attack of the Movies 3D,X360,2010,Shooter,Majesco Entertainment,40000,0,0,94,8,27,272,426
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1200000,600000,0,49,8,16,448,772
Glory Days 2,DS,2007,Strategy,Ghostlight,80000,0,0,54,11,4,182,2729
3Xtreme,PS,1999,Action,989 Studios,500000,340000,0,63,0,14,10,52
Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0,0,130000,96,3,18,414,293
The Simpsons Game,PSP,2007,Action,Electronic Arts,240000,540000,0,76,0,18,131,7673
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,390000,690000,0,78,0,13,448,2821
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,Adventure,Namco Bandai Games,0,0,230000,54,1,18,317,7532
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,360000,450000,20000,82,8,27,88,5305
James Bond 007: Blood Stone,X360,2010,Shooter,Activision,200000,230000,0,67,8,27,21,3415
Shin Sangoku Musou 6 Special,PSP,2011,Action,Tecmo Koei,0,0,110000,79,0,18,452,6523
Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,130000,110000,0,87,0,16,414,4358
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,740000,40000,0,55,9,25,474,700
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,190000,20000,130000,48,2,4,447,5065
Mobile Suit Gundam Side Story III: Sabakareshi Mono,SAT,1997,Shooter,Namco Bandai Games,0,0,150000,94,8,20,317,4560
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,20000,0,0,92,0,17,337,1452
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,120000,100000,340000,76,0,16,452,2015
Need For Speed: Undercover,PS2,2008,Racing,Electronic Arts,380000,80000,30000,48,6,15,131,5111
I Love Puppies,DS,2010,Simulation,Destineer,90000,0,0,67,9,4,117,3239
FIFA Soccer 96,PS,1995,Sports,Electronic Arts,90000,60000,0,60,10,14,131,2234
Thief (2014),PC,2014,Action,Square Enix,0,90000,0,74,0,13,422,7760
Chicken Run,PS,2000,Adventure,Eidos Interactive,70000,50000,0,86,1,14,130,1091
Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,110000,40000,360000,54,0,16,452,2025
Fast Food Panic,Wii,2009,Simulation,Nobilis,60000,0,0,57,9,25,335,2330
Brain Boost: Gamma Wave,DS,2005,Puzzle,505 Games,140000,0,0,59,5,4,6,790
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,180000,140000,0,47,3,15,414,2176
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2280000,1720000,3630000,43,7,14,423,2404
Mahjong 300,DS,2011,Puzzle,Avanquest,0,30000,0,74,5,4,55,4181
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1470000,540000,10000,100,10,17,448,4852
Titanfall,PC,2014,Shooter,Electronic Arts,220000,300000,0,80,8,13,131,7816
Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,410000,0,0,85,3,25,268,6114
Skylanders SWAP Force,XOne,2013,Platform,Activision,220000,60000,0,89,4,29,21,6679
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,130000,30000,60000,97,0,25,82,6009
Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami Digital Entertainment,0,0,30000,86,3,16,254,4184
Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,160000,170000,0,65,0,19,495,537
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1530000,810000,0,40,0,27,264,3904
UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1070000,440000,10000,47,2,16,442,8085
Overwatch,PS4,2016,Shooter,Activision,810000,850000,150000,85,8,17,21,5349
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,930000,560000,0,72,10,25,474,6473
Grey's Anatomy: The Video Game,PC,2009,Adventure,Ubisoft,0,20000,0,52,1,13,474,2847
Dead to Rights,GBA,2004,Shooter,Zoo Digital Publishing,10000,0,0,99,8,6,509,1491
Cars,DS,2006,Racing,THQ,850000,40000,0,67,6,4,442,997
Unlimited Saga,PS2,2002,Role-Playing,Atari,100000,80000,560000,86,7,15,51,8135
A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,120000,78,9,18,317,84
Buzz! Junior: RoboJam,PS2,2007,Misc,Sony Computer Entertainment,110000,90000,0,44,3,15,414,890
Princess Saver! Eternal Love for My Lady,PS2,2010,Adventure,Comfort,0,0,20000,88,1,15,91,5712
Nano Assault,3DS,2011,Shooter,Majesco Entertainment,80000,0,0,83,8,2,272,5050
NFL Tour,X360,2008,Sports,Electronic Arts,90000,0,0,71,10,27,131,4981
iCarly 2: iJoin The Click!,DS,2010,Adventure,Activision,250000,0,0,94,1,4,21,8769
Gundam Assault Survive,PSP,2010,Action,Namco Bandai Games,0,0,170000,41,0,18,317,2907
Wonder World Amusement Park,Wii,2008,Misc,Majesco Entertainment,40000,0,0,57,3,25,272,8471
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,530000,420000,0,99,8,15,264,6950
Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,350000,80000,0,58,10,28,131,7791
The Amazing Spider-Man (DS & Mobile Versions),PSP,2009,Action,Eidos Interactive,0,10000,0,85,0,18,130,7435
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,260000,10000,130000,70,2,15,51,5067
Samurai Shodown Anthology,PS2,2008,Fighting,Ignition Entertainment,70000,60000,0,54,2,15,217,6313
Starry ? Sky: After Autumn,PSP,2011,Misc,Aqua Plus,0,0,10000,88,3,18,36,6973
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015,Action,Namco Bandai Games,0,0,20000,73,0,16,317,7259
Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games,120000,50000,0,45,9,4,6,963
WSC Real 11: World Snooker Championship,X360,2011,Sports,Koch Media,0,30000,0,78,10,27,252,8268
Dante's Inferno,X360,2010,Action,Electronic Arts,630000,200000,20000,89,0,27,131,1430
The Raiden Project,PS,1995,Shooter,Ocean,60000,40000,120000,83,8,14,342,7660
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,250000,90000,0,91,4,6,442,7741
Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,140000,75,10,6,254,5657
NCAA Football 10,PS2,2009,Sports,Electronic Arts,280000,220000,0,99,10,15,131,4926
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,Shooter,Ubisoft,350000,90000,0,72,8,18,474,7861
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,40000,83,7,17,406,5496
Moe Moe 2-Ji Daisenryaku 2,PSP,2010,Strategy,System Soft,0,0,10000,90,11,18,437,4581
Space Invaders,2600,2003,Shooter,Atari,2360000,140000,0,75,8,0,51,6813
WCW vs. nWo: World Tour,N64,1997,Fighting,THQ,1370000,280000,30000,98,2,10,442,8261
Vampire Legends: Power of Three,DS,2010,Adventure,THQ,70000,0,0,82,1,4,442,8183
Earthworm Jim,GBA,2001,Platform,Interplay,200000,80000,0,69,4,6,230,2065
Jikkyou Powerful Pro Yakyuu Wii,Wii,2007,Sports,Konami Digital Entertainment,0,0,140000,80,10,25,254,3521
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0,0,150000,48,7,19,328,7850
Kung Fu Panda,X360,2008,Action,Activision,1910000,840000,0,42,0,27,21,3856
Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,50000,0,0,86,4,18,254,1505
Guitar Hero: World Tour,PC,2009,Misc,Aspyr,0,30000,0,64,3,13,48,2896
Dave Mirra Freestyle BMX 2,XB,2001,Sports,Acclaim Entertainment,150000,40000,0,61,10,28,17,1462
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2290000,94,0,2,259,8633
Inversion,PC,2014,Shooter,Namco Bandai Games,10000,0,0,74,8,13,317,3354
Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,520000,180000,0,54,0,25,264,6966
Battlezone,PSP,2006,Shooter,Atari,20000,0,0,96,8,18,51,587
LEGO City Undercover,3DS,2013,Platform,Nintendo,520000,770000,70000,81,4,2,329,3883
Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,80000,0,0,51,0,18,131,1524
Syphon Filter 2,PS,2000,Shooter,Sony Computer Entertainment,1500000,550000,20000,52,8,14,414,7238
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,550000,380000,0,67,4,14,168,5261
Harvest Moon 64,N64,1999,Simulation,Pack In Soft,250000,60000,110000,86,9,10,352,3020
Petz Sports,Wii,2008,Simulation,Ubisoft,420000,10000,0,90,9,25,474,5483
Pictionary,Wii,2010,Puzzle,THQ,600000,190000,0,86,5,25,442,5522
Doukyuusei if,SAT,1996,Role-Playing,NEC,0,0,260000,98,7,20,315,1813
Championship Manager 2010,PC,2009,Sports,Eidos Interactive,0,10000,0,84,10,13,130,1061
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,DS,2008,Adventure,Namco Bandai Games,0,0,20000,53,1,4,317,4414
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,720000,650000,40000,40,8,16,448,657
Jikkyou Powerful Pro Yakyuu 2011,PS3,2011,Sports,Konami Digital Entertainment,0,0,260000,82,10,16,254,3502
Over the Hedge,PS2,2006,Platform,Activision,450000,20000,0,61,4,15,21,5342
Rise of Nightmares,X360,2011,Action,Sega,280000,130000,10000,49,0,27,406,6060
Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,0,0,30000,63,7,19,391,6781
Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,50000,0,0,69,7,18,290,8345
Dead or Alive 2,DC,2000,Fighting,Acclaim Entertainment,0,0,140000,92,2,3,17,1485
All Points Bulletin,PC,2010,Role-Playing,Electronic Arts,0,30000,0,73,7,13,131,214
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,320000,250000,0,68,10,15,131,4944
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,250000,70000,0,82,10,28,131,4108
Honda ATV Fever,DS,2010,Racing,Storm City Games,10000,0,0,45,6,4,428,3163
Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,20000,120000,0,65,11,13,448,6586
SingStar Apres-Ski Party 2,PS3,2010,Misc,Sony Computer Entertainment,0,60000,0,64,3,16,414,6640
Football Manager 2014,PSV,2013,Sports,Sega,0,80000,0,95,10,19,406,2471
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0,0,130000,61,8,22,254,1243
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,120000,30000,0,62,10,7,17,223
UFC Undisputed 2010,X360,2010,Fighting,THQ,900000,310000,0,60,2,27,442,8087
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,150000,40000,0,63,1,7,329,1712
Worms Forts: Under Siege,PS2,2004,Strategy,Acclaim Entertainment,50000,40000,0,51,11,15,17,8551
Patapon,PSP,2007,Misc,Sony Computer Entertainment,330000,250000,70000,70,3,18,414,5427
Cabela's Big Game Hunter 2012,PS3,2011,Sports,Activision,170000,30000,0,63,10,16,21,915
Tropico 5,PS4,2015,Simulation,Kalypso Media,60000,160000,60000,55,9,17,247,8036
Namco Museum 50th Anniversary (JP sales),PS2,2005,Misc,Namco Bandai Games,0,0,20000,88,3,15,317,5033
Bee Movie Game,PS2,2007,Action,Activision,50000,40000,0,82,0,15,21,604
Winx Club: Mission Enchantix,DS,2008,Adventure,Konami Digital Entertainment,30000,20000,0,77,1,4,254,8445
Atelier Iris: Eternal Mana,PS2,2004,Role-Playing,Tecmo Koei,80000,60000,0,52,7,15,452,416
Dead Space,PS3,2008,Action,Electronic Arts,1050000,660000,0,68,0,16,131,1480
MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,260000,0,0,68,10,18,414,4080
Spectral Souls: Resurrection of the Ethereal Empires,PSP,2005,Role-Playing,Idea Factory,30000,0,0,77,7,18,215,6826
Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0,30000,0,84,0,13,82,6017
WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1320000,1080000,40000,84,2,15,442,8290
Mega Man Legends 2,PS,2000,Adventure,Capcom,170000,120000,100000,61,1,14,82,4380
Pro Baseball Spirits 2015,PSV,2015,Action,Konami Digital Entertainment,0,0,130000,67,0,19,254,5720
Disney Universe,PS3,2011,Action,Disney Interactive Studios,300000,220000,0,69,0,16,121,1689
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010,Adventure,Prototype,0,0,30000,93,1,18,377,1141
Petz Dogz 2,PS2,2007,Simulation,Ubisoft,280000,210000,0,59,9,15,474,5471
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2030000,1560000,0,50,9,13,131,7706
Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,180000,160000,30000,59,1,25,329,8704
Best Friends Tonight,DS,2010,Misc,Ubisoft,30000,0,0,89,3,4,474,621
Pictionary,DS,2010,Puzzle,THQ,90000,60000,0,48,5,4,442,5522
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,Adventure,Alchemist,0,0,10000,89,1,15,30,3842
MX vs. ATV Untamed,DS,2007,Racing,THQ,110000,0,0,61,6,4,442,4122
Shinseiki Evangelion: Battle Orchestra,PS2,2007,Fighting,Broccoli,0,0,20000,89,2,15,75,6548
Fireblade,XB,2002,Action,Midway Games,60000,20000,0,97,0,28,298,2439
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,580000,80000,20000,79,9,25,391,3027
Drakensang: The Dark Eye,PC,2009,Role-Playing,Eidos Interactive,20000,0,0,49,7,13,130,1918
Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,40000,10000,0,91,0,28,121,8031
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,100000,90000,10000,51,1,17,454,7736
Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,500000,70000,0,42,9,2,6,1250
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,160000,0,0,69,0,16,414,4089
WRC 5: FIA World Rally Championship,PSV,2015,Sports,Bigben Interactive,0,20000,0,94,10,19,67,8265
Galaxy Racers,DS,2010,Racing,Ubisoft,40000,0,0,76,6,4,474,2623
Over the Hedge: Hammy Goes Nuts!,PSP,2006,Platform,Activision,50000,0,0,57,4,18,21,5343
Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,140000,20000,0,62,7,4,329,4171
Porsche Challenge,PS,1997,Racing,Sony Computer Entertainment,50000,30000,0,54,6,14,414,5648
Disney's Donald Duck Advance,GBA,2001,Platform,Ubisoft,50000,20000,0,50,4,6,474,1700
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0,0,140000,59,0,18,420,3702
