Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
2003,30000,20000,0,73,6,15,406,7574
2005,40000,30000,0,43,0,15,317,8153
2008,0,0,30000,81,2,4,317,1342
2007,0,40000,0,50,9,4,130,5627
2000,350000,240000,0,43,4,14,21,887
2002,30000,30000,0,66,2,15,138,2369
2012,1480000,830000,0,68,0,25,21,6677
2007,160000,0,0,90,7,4,429,6165
2007,210000,110000,280000,83,10,18,414,3184
2000,270000,210000,410000,66,11,15,131,3708
2004,30000,10000,0,47,0,7,254,3760
1987,2030000,470000,450000,89,2,11,329,4512
2014,150000,360000,10000,72,10,16,131,41
2016,0,0,40000,78,0,2,317,4772
2008,20000,0,0,86,0,4,21,3858
2006,0,0,40000,41,11,15,215,1069
2015,0,20000,30000,82,6,16,300,4696
2006,10000,0,130000,79,3,4,317,5827
2014,0,0,30000,75,0,2,317,1582
2011,90000,20000,0,72,8,27,6,679
2015,0,0,50000,100,1,19,7,1070
2005,0,0,20000,44,3,18,414,5035
2009,360000,80000,20000,68,2,27,317,1868
1999,0,0,180000,55,10,10,254,3343
1998,1440000,1090000,0,85,8,14,131,4337
2002,190000,70000,0,69,0,6,442,6195
2007,10000,90000,0,90,10,18,474,6136
2006,0,0,10000,98,1,18,84,3629
2005,110000,0,0,44,5,4,104,809
2008,60000,0,0,66,1,25,272,6882
2011,0,50000,0,96,5,4,515,3469
2000,720000,160000,1010000,82,3,10,329,4249
2010,80000,0,0,59,1,25,478,4276
2011,170000,0,0,78,3,25,474,2285
2016,60000,210000,30000,64,8,17,115,3158
2016,10000,20000,0,51,0,17,178,8332
2001,230000,180000,0,87,0,15,414,3247
2016,0,40000,100000,40,7,19,317,7229
2016,280000,290000,0,40,0,29,448,4165
2010,90000,180000,10000,69,0,18,474,5704
2016,0,30000,10000,57,1,19,351,6172
1995,0,0,420000,47,10,22,317,7107
2012,0,0,30000,57,3,16,149,2673
2016,860000,60000,0,92,10,29,448,4854
2004,890000,220000,220000,77,0,6,329,7607
2016,10000,40000,0,51,1,13,422,3965
2002,10000,0,0,51,10,7,406,5002
2015,10000,10000,10000,98,7,19,215,4409
2011,940000,0,0,42,10,27,131,4928
1995,0,0,100000,61,1,14,17,1351
2004,120000,40000,0,85,0,6,121,1706
2015,0,20000,0,52,3,13,56,66
2006,0,0,20000,61,11,18,406,6291
2004,170000,40000,0,82,10,7,131,4933
2000,160000,40000,0,61,4,10,474,7795
2008,610000,160000,490000,88,7,4,422,1119
2005,410000,10000,0,91,0,15,51,7632
2002,0,0,10000,95,7,16,215,148
2001,20000,10000,0,54,0,14,135,8734
2012,180000,50000,0,56,0,27,21,269
2006,1700000,1990000,160000,90,0,18,448,2826
1998,0,0,550000,56,11,20,61,7165
2004,10000,30000,0,63,11,13,442,8327
2001,70000,50000,0,74,4,14,226,4012
2010,0,0,130000,61,7,4,138,4458
2008,490000,0,10000,53,0,15,264,6965
2015,40000,0,0,95,7,17,337,317
2013,0,0,100000,88,7,18,317,1618
2010,1450000,540000,20000,77,8,27,448,656
2008,0,0,60000,59,0,4,317,1106
2016,0,0,270000,81,1,2,82,109
2011,0,0,500000,52,7,16,82,4621
1997,0,0,1140000,60,7,14,423,1097
2003,180000,140000,0,86,7,15,414,308
2003,10000,0,0,57,0,7,474,1076
2015,0,0,30000,77,3,26,259,8625
2011,160000,40000,0,83,0,2,21,7989
1997,0,0,80000,98,8,20,210,8240
2008,0,0,40000,82,3,4,317,1177
2014,30000,0,0,53,10,29,478,7509
2009,60000,0,0,59,10,4,297,8492
2008,300000,220000,0,75,0,25,406,3361
2002,220000,80000,240000,86,4,6,82,4400
2014,0,0,2680000,88,7,2,259,8631
2010,160000,0,0,62,3,4,6,3925
2012,0,0,20000,55,7,2,158,8123
1994,0,0,30000,87,7,22,61,2607
2009,530000,10000,0,51,2,15,442,8285
2013,1480000,550000,0,82,0,29,474,381
2010,0,170000,0,54,8,13,406,208
2004,20000,10000,0,62,0,15,317,548
2007,0,0,10000,83,7,4,429,6166
2005,180000,50000,0,99,2,28,51,1853
2013,0,0,10000,62,7,16,148,7589
2002,40000,10000,0,52,3,7,131,1715
2011,90000,0,0,83,8,25,280,3070
1999,3880000,3420000,1690000,71,6,14,414,2806
2009,0,0,140000,50,7,4,406,70
2003,50000,10000,0,85,4,7,17,8203
2009,160000,20000,0,69,7,25,121,6828
2000,1930000,1580000,0,69,4,14,414,6896
1992,3540000,1240000,3810000,55,6,22,329,7127
2008,460000,0,20000,71,10,16,131,4886
2012,0,20000,0,56,6,13,317,6049
2007,160000,0,60000,95,7,4,391,4049
1996,0,0,90000,71,2,14,46,8238
1998,60000,20000,0,96,6,10,17,3265
2003,100000,30000,0,94,0,7,130,3145
2007,0,0,30000,81,10,25,254,3522
2015,300000,180000,0,100,0,26,495,3884
2010,50000,0,0,90,1,25,51,6302
2011,0,0,10000,64,1,18,75,8157
2004,840000,220000,240000,64,4,7,329,1772
2011,20000,20000,0,69,0,13,49,3467
2008,350000,30000,170000,62,9,4,391,3035
1997,110000,80000,0,74,8,14,230,4078
2007,160000,10000,0,73,11,18,448,6592
2014,0,40000,20000,71,7,19,474,1094
2015,0,20000,0,73,0,19,351,695
1986,3740000,930000,1690000,100,0,11,329,7597
2003,80000,20000,0,72,10,28,406,2052
1993,1000000,360000,90000,72,4,21,406,6753
1998,230000,60000,0,69,6,10,17,8253
2010,170000,10000,110000,90,4,4,82,4403
2010,120000,80000,0,93,4,16,104,615
2014,140000,110000,0,65,0,27,422,7760
2001,60000,20000,0,52,11,6,51,1121
2005,280000,30000,0,72,10,28,131,4909
1996,0,0,350000,60,2,20,82,7013
2011,450000,490000,0,77,2,16,131,2363
2016,10000,50000,0,71,4,13,131,4541
2004,20000,10000,0,90,7,15,82,1314
2007,350000,30000,0,78,0,15,131,7673
2008,350000,230000,0,84,10,27,131,7782
1992,410000,60000,630000,93,5,11,329,8641
2011,70000,0,0,64,6,16,254,3527
2015,240000,80000,0,81,8,27,21,1572
1996,0,0,10000,72,10,14,223,8205
2015,0,0,30000,52,7,2,393,4332
2010,0,0,20000,91,0,27,277,5223
2016,10000,10000,0,99,0,13,82,6014
2001,570000,440000,0,54,6,15,131,4836
2009,180000,0,0,94,3,4,474,5691
1999,130000,30000,0,63,6,10,442,1577
2011,20000,70000,0,100,3,25,131,4603
2011,0,0,50000,66,7,18,317,8201
1998,140000,400000,0,64,10,10,131,8490
2006,110000,0,0,50,10,16,448,5004
2005,330000,120000,0,66,4,6,442,36
1993,0,0,270000,96,2,22,317,666
2003,0,0,320000,75,2,15,51,5089
2013,30000,410000,510000,62,0,16,254,5728
2010,610000,680000,0,77,6,25,406,6742
2004,1330000,490000,0,89,4,15,414,3404
2011,60000,90000,0,99,6,25,474,1956
1985,390000,90000,430000,69,4,11,329,485
2012,0,0,60000,52,0,19,104,2058
2011,1210000,80000,0,61,1,0,51,135
2016,0,0,160000,82,1,17,406,8610
2011,20000,0,0,75,4,4,237,3167
2012,70000,30000,0,90,0,13,21,8760
1994,0,0,530000,88,11,22,452,6156
2002,10000,0,0,53,10,28,254,2047
1998,0,0,550000,70,10,14,254,3486
2008,110000,0,10000,74,7,18,511,141
2011,0,0,20000,90,1,18,379,3061
2010,210000,0,0,98,10,25,104,2291
2004,30000,10000,0,56,1,28,265,5254
1999,140000,30000,0,54,6,10,298,8494
2003,210000,80000,0,62,6,6,131,5116
2004,60000,50000,0,60,1,15,254,6462
2016,40000,0,0,72,8,17,82,6004
2008,150000,0,0,96,8,16,23,5027
2003,220000,170000,140000,91,0,15,82,4393
2008,0,0,10000,73,1,4,104,3176
2007,520000,1020000,0,78,8,18,21,955
2008,40000,0,0,87,3,4,391,1206
2010,70000,0,0,96,9,4,474,5475
2002,0,0,160000,93,7,15,414,5575
2004,20000,0,0,88,11,7,240,2583
1993,0,0,70000,57,1,8,406,2072
2011,390000,80000,20000,52,0,16,414,2760
2003,540000,350000,460000,100,0,15,82,6018
2008,70000,0,0,97,6,25,447,5448
2010,150000,90000,0,66,0,27,406,3363
2009,0,0,40000,75,1,15,215,2948
2005,60000,20000,0,54,4,6,21,38
2002,420000,110000,20000,81,6,28,21,8561
1995,0,0,320000,100,5,5,329,3797
2000,40000,30000,0,74,4,15,474,1701
2003,50000,10000,0,95,4,7,58,8305
2002,20000,10000,0,64,4,6,317,3812
2002,770000,150000,0,99,2,28,298,4673
2016,40000,0,0,66,0,29,21,2705
2003,240000,190000,0,88,6,15,442,6853
1993,300000,0,320000,50,11,22,452,5227
2015,410000,600000,0,76,10,17,448,8275
2012,120000,20000,0,68,0,16,21,269
2016,440000,250000,0,87,8,29,64,1781
2006,550000,20000,0,99,11,15,51,7769
2002,900000,1220000,40000,94,0,15,131,2999
2003,970000,590000,40000,81,6,28,296,5362
2008,0,20000,0,90,8,13,474,7877
2007,50000,0,0,56,9,4,141,174
2003,220000,60000,0,99,6,7,17,102
2015,890000,2120000,0,53,10,29,131,2218
1992,0,0,2430000,81,7,22,423,2401
2006,330000,10000,0,87,4,4,492,7594
2005,110000,30000,0,69,11,28,448,6592
1998,600000,410000,0,97,10,14,298,4959
2007,230000,0,0,77,10,16,420,4198
2001,120000,90000,0,95,6,15,414,8267
2008,160000,0,0,100,5,25,375,2966
2001,50000,10000,0,68,0,28,181,3616
2009,120000,0,0,58,5,4,123,3924
2006,10000,10000,0,89,8,15,452,8414
2008,0,0,20000,70,3,4,303,4583
2011,0,50000,0,63,1,13,152,7642
2006,370000,300000,120000,98,9,18,317,116
2003,110000,30000,0,82,6,28,134,2483
2005,10000,0,0,94,5,6,509,6722
1995,0,0,210000,68,2,22,317,1838
2015,0,0,20000,92,0,19,158,7822
2013,9660000,5140000,60000,70,0,27,448,2821
1999,130000,30000,0,97,8,10,96,396
2006,720000,190000,0,50,6,7,442,997
2010,110000,260000,20000,67,6,18,414,4578
2003,0,0,270000,68,6,15,406,3326
1998,330000,220000,0,55,10,14,131,1349
2011,230000,400000,10000,75,6,27,88,1601
2005,20000,10000,0,75,3,6,509,2663
2014,340000,70000,270000,65,7,2,332,5459
2008,90000,70000,0,90,10,15,21,498
2008,0,0,50000,83,1,4,452,3017
2004,130000,50000,0,87,3,6,442,211
2006,630000,50000,1350000,60,5,4,329,7417
2008,110000,0,0,53,10,25,509,6667
2006,10000,0,0,94,8,15,21,2843
2010,0,0,110000,98,0,4,317,3059
2001,80000,60000,0,74,6,15,17,5421
2003,240000,90000,0,98,3,6,442,5674
2014,0,150000,0,76,6,13,474,7468
2008,1530000,230000,0,79,2,27,298,4671
2014,730000,880000,80000,98,7,17,131,1829
1998,30000,20000,220000,51,11,14,489,3619
2000,880000,600000,0,58,3,14,414,3425
1998,270000,60000,0,85,6,10,168,5266
2009,620000,310000,0,72,0,27,21,3888
2007,80000,20000,0,75,0,4,121,5675
2006,530000,570000,0,87,2,18,406,6245
2000,0,0,200000,89,2,15,423,218
1995,30000,10000,50000,83,4,22,254,1020
2005,110000,0,50000,68,11,18,254,4439
2011,0,40000,0,65,1,27,107,2834
2007,220000,90000,40000,69,4,18,254,1033
2003,10000,0,0,84,0,7,440,299
2010,100000,0,0,50,3,25,474,8388
2002,1750000,450000,620000,60,4,6,329,7136
2001,70000,50000,0,55,10,14,298,4868
2002,20000,10000,0,50,10,6,254,1685
2010,180000,80000,0,61,3,25,121,1663
2009,150000,20000,30000,84,11,27,247,8032
2010,330000,0,0,68,0,4,403,1617
2000,0,0,150000,90,9,15,254,1961
2002,10000,10000,0,64,1,14,474,3918
2005,440000,20000,0,75,0,15,448,7738
2006,0,0,100000,77,1,18,414,747
1996,0,0,1040000,76,10,22,13,1556
2008,230000,730000,20000,58,10,18,131,2225
2013,40000,30000,0,69,9,2,121,1717
2005,10000,0,0,78,4,4,391,5873
1995,0,0,30000,85,1,14,160,5185
2009,80000,0,0,58,5,4,131,3083
2013,50000,20000,140000,80,7,19,332,7590
2002,1520000,120000,0,80,7,6,226,1860
2006,90000,0,0,74,10,18,298,4864
2012,180000,640000,270000,75,10,2,406,4232
1997,0,0,160000,55,5,10,92,5801
2010,770000,290000,90000,65,8,16,414,4075
2003,180000,50000,0,71,6,28,440,1261
2008,0,0,20000,51,1,4,30,183
2013,180000,190000,0,70,0,2,495,3887
2014,40000,110000,0,99,6,17,300,4695
2011,0,0,10000,93,1,18,30,8121
2011,0,0,30000,73,3,18,215,2975
2007,20000,0,20000,52,8,18,217,4465
2014,0,0,70000,68,7,2,393,4331
2001,360000,280000,0,54,6,15,17,864
2003,0,0,30000,92,0,28,296,5766
2007,0,0,20000,95,3,15,104,3140
2012,50000,140000,0,63,1,16,152,7724
2014,0,40000,0,50,0,25,121,1674
2002,0,0,130000,100,5,7,478,5208
2008,0,0,10000,53,1,15,395,6559
2006,3810000,630000,0,70,3,15,388,2887
2011,130000,30000,0,77,3,25,442,6056
2008,10000,0,0,99,6,18,68,6220
2014,0,0,20000,79,1,2,82,5516
2012,40000,0,0,76,2,16,86,1497
1999,240000,60000,0,57,8,10,21,5819
2008,120000,0,0,67,10,16,23,920
2011,80000,30000,0,91,6,25,21,1935
1995,0,0,30000,69,1,20,406,5885
2004,140000,40000,0,76,0,28,131,3005
2003,1040000,370000,0,74,4,6,442,1675
1982,320000,20000,0,78,0,0,2,494
2013,100000,40000,0,82,4,6,121,1699
2013,0,0,20000,62,3,18,452,2695
1995,0,0,80000,76,3,20,406,8221
2014,160000,40000,0,60,10,17,131,4889
2008,0,0,10000,74,3,4,97,5030
2014,360000,240000,0,72,7,29,21,1607
2013,0,0,20000,96,2,18,317,3090
2006,330000,100000,0,98,0,28,264,3902
2008,360000,110000,0,96,7,4,121,6827
2016,70000,90000,10000,100,0,2,495,3895
2009,190000,200000,10000,56,8,16,495,2191
2005,380000,10000,0,89,2,15,51,1853
2005,30000,10000,0,98,11,28,448,6469
2007,0,0,30000,97,1,4,250,2611
2012,70000,100000,0,93,11,13,406,7945
2010,140000,0,0,62,9,4,442,6373
2005,0,0,300000,80,3,18,406,7963
2013,160000,140000,0,95,10,16,131,7788
2012,0,0,80000,78,9,25,317,3233
2005,110000,0,40000,65,10,4,329,8041
2005,160000,40000,0,72,3,7,442,802
2006,0,0,20000,65,1,15,445,6178
2008,0,0,290000,65,10,4,254,5659
2013,50000,50000,0,89,8,26,422,1586
2005,40000,10000,0,89,0,28,254,1309
2002,30000,10000,0,52,8,6,474,7719
2011,70000,50000,0,79,0,25,442,3857
2010,250000,210000,0,85,1,25,121,196
2007,50000,40000,0,76,6,15,82,4691
2009,90000,150000,0,80,6,18,414,1600
2013,60000,30000,100000,92,7,16,452,412
2002,160000,60000,40000,75,4,6,254,1024
2008,340000,220000,0,69,10,16,131,7782
2002,20000,0,0,68,5,7,17,8753
2010,0,0,30000,68,9,4,254,8696
2011,150000,110000,0,81,3,27,474,5856
2010,70000,30000,0,94,3,27,442,8042
2004,50000,10000,0,65,0,7,131,1040
2009,140000,10000,0,93,0,25,488,4356
2003,250000,60000,0,54,0,7,474,5705
2013,300000,140000,0,90,0,27,254,4440
2001,140000,110000,80000,72,7,15,414,5272
2014,30000,10000,20000,55,7,19,332,4020
2001,0,0,140000,65,3,15,417,6818
2009,500000,1580000,310000,97,6,18,414,2805
2009,530000,160000,420000,82,1,25,329,5611
2009,110000,0,0,76,4,25,495,8379
2006,300000,430000,0,82,1,18,414,2654
1997,10000,10000,0,86,0,14,17,7471
2012,110000,50000,70000,76,7,19,332,1652
2008,140000,110000,0,65,10,15,131,4913
2014,550000,860000,110000,55,0,17,64,7485
2010,0,0,470000,72,0,4,259,1143
2001,210000,60000,0,73,10,7,17,1462
2004,50000,20000,0,78,4,6,187,1187
2010,230000,120000,0,83,7,27,406,232
1998,0,0,170000,88,2,20,398,7557
2000,400000,310000,0,87,2,15,298,5945
2012,0,0,40000,83,7,18,420,6557
2009,80000,0,30000,87,7,4,196,410
2014,0,0,30000,84,7,16,317,7113
2010,0,0,20000,76,1,18,93,6725
2013,70000,90000,0,59,0,16,422,3150
2010,0,0,20000,57,1,18,30,5324
2013,100000,0,190000,97,7,16,422,1917
2011,100000,40000,40000,50,3,2,317,5369
2005,170000,240000,0,63,5,18,217,320
2013,0,0,100000,91,10,19,254,3505
2005,10000,0,0,71,3,6,448,8497
2016,110000,70000,0,58,0,29,317,1872
1994,0,0,60000,95,7,21,406,5965
2009,150000,0,30000,77,0,25,254,627
2010,90000,0,0,59,10,18,21,927
1995,0,0,80000,88,11,20,185,5833
2016,0,0,10000,51,0,19,215,3873
2002,100000,40000,0,54,4,6,226,8709
2005,780000,2550000,40000,58,10,15,131,2222
1996,680000,460000,0,80,9,14,284,6618
2004,10000,0,0,69,3,6,51,1972
1989,660000,270000,650000,68,10,5,329,514
2009,0,10000,0,63,1,13,394,6998
2002,220000,80000,0,81,1,28,296,6479
1994,0,0,180000,56,8,22,254,2773
2002,0,10000,0,88,8,13,51,8140
2015,60000,10000,0,53,0,27,21,7991
1995,0,0,70000,89,6,20,406,2982
2014,4350000,3490000,3100000,73,7,2,329,5598
2010,180000,220000,20000,94,11,16,474,5841
2010,0,0,20000,55,1,18,215,4548
2008,940000,160000,20000,68,8,16,414,6249
2005,80000,20000,0,53,5,4,6,883
2010,80000,20000,0,50,3,25,495,8170
2005,0,0,470000,70,10,15,254,8513
2009,130000,0,0,79,5,4,510,1635
2015,140000,50000,0,96,11,29,296,6983
2010,140000,0,0,70,10,4,448,4194
2006,60000,20000,0,88,9,28,474,700
2015,0,50000,0,85,7,17,115,6064
2002,70000,20000,0,84,8,28,58,5983
2009,50000,0,20000,98,6,4,452,4641
2015,0,0,40000,61,0,2,317,8653
2008,70000,0,0,79,5,4,474,8477
2007,120000,0,0,75,10,16,414,4844
2014,80000,360000,0,95,0,13,22,8538
2002,30000,20000,0,98,6,15,414,2355
2012,90000,160000,0,64,0,13,131,4299
2010,90000,0,0,89,10,4,21,5889
2011,20000,50000,0,88,1,13,107,2834
2009,200000,0,0,57,3,16,96,5533
1993,0,0,1450000,57,2,22,317,1837
2005,0,70000,0,91,9,13,474,6606
1999,270000,180000,0,76,6,14,21,8214
2009,0,320000,0,62,8,13,482,3927
2007,80000,460000,0,54,9,18,131,7679
1994,0,0,740000,72,6,14,414,6043
2009,380000,0,0,68,1,25,251,3564
2010,0,0,230000,88,9,4,254,4037
2000,70000,20000,0,94,0,10,474,530
2010,120000,110000,0,91,11,27,474,5841
2007,50000,0,0,77,3,4,21,8501
1998,40000,30000,0,55,6,14,302,1130
2000,290000,200000,0,99,2,14,298,5945
2014,480000,180000,10000,90,7,27,317,1440
2013,0,0,110000,59,7,18,406,6528
2008,290000,220000,0,83,4,18,442,8304
2001,70000,50000,0,81,8,15,414,8186
2003,50000,20000,0,53,2,6,474,4733
2014,0,0,120000,65,0,16,317,4561
2000,3050000,1410000,20000,95,10,14,21,7910
2008,500000,140000,0,86,10,27,131,4886
1998,1410000,50000,0,76,10,14,298,4956
2004,540000,880000,0,67,0,15,474,5706
1996,60000,40000,140000,83,2,14,414,546
2013,0,10000,60000,95,2,16,317,6278
2006,0,0,30000,67,11,15,406,7388
2008,70000,240000,0,56,6,16,82,4692
2011,50000,0,0,75,6,16,144,4323
2009,40000,0,0,79,9,25,6,3199
1999,260000,170000,0,84,6,14,298,3221
2009,160000,570000,0,83,3,16,414,893
1995,0,0,400000,53,7,22,84,4802
2010,460000,270000,0,53,3,25,131,3040
2012,640000,490000,0,66,0,27,495,3907
2009,380000,0,0,72,6,25,510,4654
2009,20000,0,0,61,11,13,369,8542
2006,0,10000,0,58,10,13,254,8422
2000,60000,40000,0,70,6,14,486,2212
2007,50000,0,0,77,5,25,375,4810
1994,240000,160000,130000,61,9,14,131,7757
2008,460000,0,0,66,3,4,474,7655
2010,0,0,30000,66,1,15,452,3785
1999,3180000,1240000,940000,94,11,10,329,5605
2011,140000,70000,0,99,0,16,21,8574
2011,270000,60000,0,78,3,27,296,3759
2009,0,40000,0,50,6,13,88,1600
2010,40000,0,0,62,3,4,428,3065
2000,0,0,90000,77,1,15,414,723
2014,0,0,150000,56,0,17,406,8613
2002,80000,20000,0,77,10,7,406,589
2015,0,0,50000,100,0,19,274,4052
2000,210000,50000,0,54,9,10,264,6934
2010,560000,0,0,84,3,4,21,8456
2004,0,30000,0,93,0,13,131,3005
2009,280000,390000,0,81,0,25,131,3003
2008,230000,30000,0,87,10,25,107,7071
2006,0,20000,0,54,7,13,314,2871
2010,0,0,20000,100,3,4,317,5239
2010,0,20000,0,85,3,13,317,6357
2003,60000,20000,0,92,0,6,492,5995
1997,50000,40000,0,94,1,14,378,6452
2008,300000,0,0,97,3,25,254,3661
2008,630000,570000,10000,57,6,27,131,868
2008,170000,130000,0,74,4,15,74,7720
2008,100000,0,0,72,10,15,406,6407
2004,100000,80000,0,71,0,15,82,8210
2008,0,0,320000,87,3,4,254,5828
2015,10000,90000,0,84,10,17,469,1758
1998,0,0,150000,68,10,14,485,3682
2003,0,0,90000,87,10,15,452,8427
2006,0,0,160000,62,1,15,406,3630
2008,0,0,20000,65,0,25,422,6787
2005,160000,360000,0,58,10,18,406,8233
2011,110000,230000,0,93,4,2,474,5915
2013,0,0,220000,56,0,2,406,3049
2013,0,110000,0,59,0,4,21,4678
2000,30000,20000,0,54,0,14,236,5678
2003,620000,160000,0,90,9,7,264,6943
2010,0,0,70000,77,0,18,254,875
2008,0,0,30000,87,8,27,254,5326
2009,20000,0,0,90,4,18,348,898
2005,480000,190000,0,58,7,28,296,3403
2014,0,0,30000,72,1,16,7,3322
2009,70000,10000,10000,100,0,25,391,3396
2014,0,50000,10000,91,0,17,6,7402
2013,0,0,50000,73,1,2,317,1581
2007,280000,0,30000,86,5,4,104,5812
1982,460000,30000,0,81,0,0,35,2662
2005,40000,30000,0,75,0,15,448,2335
2011,80000,0,0,68,0,4,174,1370
2010,10000,10000,0,99,7,13,359,4718
2014,70000,0,0,93,0,27,21,7733
2000,0,0,60000,81,10,15,452,2589
1999,60000,10000,0,86,1,10,249,6458
2011,0,100000,0,54,10,16,414,147
2001,1090000,490000,20000,58,10,14,21,7911
2008,110000,0,0,61,10,4,452,7349
2015,0,30000,0,79,5,2,252,5396
1993,0,0,780000,70,7,22,84,7939
2007,90000,0,0,65,7,4,317,3352
2016,10000,0,0,52,10,29,159,4273
2012,150000,60000,10000,83,0,27,82,403
2015,0,0,20000,97,0,16,317,7262
1996,0,0,210000,83,2,20,398,7556
2002,30000,1050000,20000,81,6,15,88,1198
2010,50000,0,30000,54,4,18,332,5714
2010,3450000,2590000,0,59,10,25,6,8755
2008,0,0,20000,73,8,4,40,3710
2001,90000,70000,30000,79,1,15,254,6455
2008,90000,0,0,83,3,25,21,4601
2001,230000,80000,0,55,10,6,131,4155
2010,180000,10000,90000,74,11,4,254,8666
2009,1480000,390000,0,72,2,27,442,8085
2006,180000,20000,0,76,3,4,254,8678
2009,0,0,40000,81,7,18,452,3783
2011,30000,0,0,58,3,13,442,1011
2011,30000,0,0,56,1,13,206,5047
2011,0,60000,0,54,9,13,145,5732
2014,0,0,150000,77,7,19,414,5316
2001,70000,60000,0,75,10,15,414,4901
2003,0,30000,0,81,8,13,21,6939
2002,310000,240000,130000,83,2,15,82,4285
2009,310000,210000,0,88,3,25,21,2893
2009,70000,10000,0,50,8,16,88,1394
2000,0,0,60000,70,10,3,254,3517
2007,970000,10000,0,74,4,4,448,1788
2006,10000,10000,0,89,0,4,51,7948
2002,110000,90000,0,73,10,15,414,4937
2008,0,0,20000,93,1,15,301,3748
2005,70000,20000,0,61,8,28,474,6714
1999,0,0,150000,66,6,14,421,5859
2016,160000,50000,0,87,8,28,478,6100
2006,10000,10000,0,50,3,15,172,2515
2010,100000,0,0,95,6,4,428,101
2008,310000,230000,0,82,3,25,121,1679
2006,900000,1000000,1030000,99,3,4,329,5460
2004,1460000,0,830000,76,0,15,254,4444
2005,80000,20000,0,95,0,28,130,5772
2014,720000,410000,10000,60,0,27,474,8352
2004,0,10000,0,100,6,13,88,1197
2010,140000,10000,0,73,0,16,21,470
2010,180000,120000,0,99,0,18,406,3363
2008,0,0,10000,50,3,15,356,1384
2016,0,90000,0,72,9,13,406,2473
2011,330000,310000,0,90,8,16,448,1974
2010,90000,190000,0,80,10,16,406,8190
2012,150000,30000,0,70,0,2,21,7434
2015,320000,220000,0,91,10,29,448,8275
1993,0,0,360000,99,2,22,317,8698
2011,50000,0,180000,57,7,16,332,417
2002,550000,140000,0,76,2,7,51,2767
2001,60000,50000,0,54,9,15,448,1136
2009,60000,0,0,78,8,25,389,6143
2012,130000,20000,0,66,3,27,474,3595
2015,170000,90000,0,59,8,27,131,581
2001,330000,120000,0,97,8,6,442,3358
2010,0,0,90000,75,7,4,422,2080
2004,370000,110000,0,54,10,28,298,4861
2001,1920000,160000,990000,79,9,7,329,273
2006,120000,120000,0,68,5,18,121,4047
2010,60000,130000,0,79,10,16,474,5791
2007,140000,0,10000,88,4,25,254,1596
2007,30000,30000,10000,72,7,15,422,2414
2014,20000,20000,170000,91,0,19,452,7966
2010,0,0,20000,53,1,18,7,1072
2004,30000,10000,0,69,0,6,207,364
2010,30000,0,0,66,6,25,337,4320
1996,120000,80000,0,60,10,14,17,4975
2010,0,30000,0,75,10,13,474,6471
2011,0,0,180000,99,0,16,82,659
2005,3430000,5350000,5320000,54,5,4,329,786
2007,90000,10000,0,56,1,4,21,506
2013,300000,110000,0,99,3,29,474,3585
1999,720000,890000,40000,68,1,14,264,6935
1995,110000,80000,350000,55,7,14,414,630
2008,60000,0,0,64,5,4,82,8038
2001,170000,110000,0,95,6,14,478,7479
2011,70000,30000,0,80,7,13,131,1453
2002,150000,120000,0,53,0,15,414,1718
2004,210000,60000,0,61,2,7,51,1842
2009,0,50000,0,81,6,16,414,8449
2003,20000,10000,0,99,5,28,123,4585
2000,1110000,510000,340000,51,4,5,329,8334
2003,240000,70000,0,80,6,28,492,1285
2011,250000,560000,0,62,0,13,317,7746
2016,0,0,120000,97,7,2,53,2139
2014,60000,140000,0,91,6,27,474,7468
2011,70000,10000,0,92,1,16,454,446
2005,40000,30000,90000,87,0,15,82,594
2008,0,40000,0,77,3,15,414,6654
2008,30000,0,0,76,5,18,117,936
2007,100000,0,0,73,10,18,448,7439
2014,870000,340000,20000,88,8,27,131,7816
2007,420000,10000,0,84,5,4,217,1293
2009,40000,0,0,58,0,4,104,1258
2008,0,0,20000,63,1,15,14,5241
2006,430000,120000,0,71,11,4,329,132
2010,0,0,30000,71,3,4,210,3207
2009,390000,0,0,60,6,25,131,4833
2004,40000,10000,0,99,6,28,187,1009
1996,0,0,1360000,50,7,22,136,1880
2012,0,40000,0,84,5,4,391,3465
2016,0,0,50000,80,0,19,75,8160
2005,180000,70000,0,94,3,6,509,6782
2010,5800000,2850000,10000,69,3,25,474,3584
2005,60000,0,0,53,0,4,474,7882
1989,140000,10000,0,95,5,0,51,3810
2009,10000,10000,0,83,5,4,321,298
2006,0,10000,0,95,3,13,474,5932
1996,0,0,230000,67,7,20,245,4060
2007,210000,0,0,93,6,4,21,3192
2011,90000,30000,0,60,0,2,495,2840
2009,180000,170000,0,84,0,27,264,6947
2012,210000,170000,0,81,8,27,448,6823
2002,1110000,710000,0,82,5,15,442,7420
2009,110000,140000,0,70,0,25,21,3258
2005,120000,0,0,64,0,4,474,5469
2011,120000,40000,0,52,2,18,442,8277
2004,50000,20000,0,68,3,28,179,7516
2003,260000,70000,0,80,2,7,442,8293
2003,150000,120000,260000,50,7,15,422,2567
1997,180000,120000,0,94,1,14,17,6069
2013,0,0,10000,67,1,18,30,5294
2007,1150000,0,760000,84,2,15,51,1844
2002,20000,10000,0,59,0,6,256,906
2011,110000,50000,0,96,10,16,21,931
2005,70000,20000,0,96,9,28,474,5569
